hgnc_id	approved_symbol	approved_name	synonyms	accession_numbers	entrez_gene_id	ensembl_gene_id	refseq_ids
HGNC:1	A12M1~withdrawn	entry withdrawn					
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1					
HGNC:100	ASIC1	acid sensing ion channel subunit 1	BNaC2, hBNaC2	U78181	41	ENSG00000110881	NM_020039
HGNC:1000	BCL5	B cell CLL/lymphoma 5					
HGNC:10000	RGS4	regulator of G protein signaling 4		BC051869	5999	ENSG00000117152	NM_005613
HGNC:10001	RGS5	regulator of G protein signaling 5		AF030108	8490	ENSG00000143248	NM_003617
HGNC:10002	RGS6	regulator of G protein signaling 6		AF073920	9628	ENSG00000182732	
HGNC:10003	RGS7	regulator of G protein signaling 7		BC022009	6000	ENSG00000182901	NM_002924
HGNC:10004	RGS9	regulator of G protein signaling 9	PERRS, RGS9L, MGC26458, MGC111763	AF071476	8787	ENSG00000108370	NM_003835
HGNC:10005	RH~withdrawn	symbol withdrawn, see RHD and RHCE					
HGNC:10006	RHAG	Rh associated glycoprotein	RH50A, CD241, SLC42A1		6005	ENSG00000112077	
HGNC:10007	RHBDL1	rhomboid like 1	RRP	Y17108	9028	ENSG00000103269	NM_003961
HGNC:10008	RHCE	Rh blood group CcEe antigens	CD240CE	BC075081	6006	ENSG00000188672	NM_020485
HGNC:10009	RHD	Rh blood group D antigen	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	AB012623	6007	ENSG00000187010	NM_016124
HGNC:1001	BCL6	B cell CLL/lymphoma 6	ZBTB27, LAZ3, BCL5, BCL6A		604	ENSG00000113916	NM_001706
HGNC:10010	RHEBP1	RHEB pseudogene 1	RHEB		6008	ENSG00000229927	
HGNC:10011	RHEB	Ras homolog, mTORC1 binding		D78132	6009	ENSG00000106615	NM_005614
HGNC:10012	RHO	rhodopsin	OPN2, CSNBAD1	AB065668	6010	ENSG00000163914	NM_000539
HGNC:10013	GRK1	G protein-coupled receptor kinase 1	GPRK1, RK		6011	ENSG00000185974	NM_002929
HGNC:10014	RIEG1~withdrawn	symbol withdrawn, see PITX2					
HGNC:10015	RIEG2	Rieger syndrome 2	ARS				
HGNC:10016	RIMKLP~withdrawn	symbol withdrawn, see RIMKLBP1					
HGNC:10017	RIT2	Ras like without CAAX 2	RIBA	BC018060	6014	ENSG00000152214	NM_002930
HGNC:10018	RING1	ring finger protein 1	RNF1		6015	ENSG00000204227	
HGNC:10019	RIPK1	receptor interacting serine/threonine kinase 1	RIP	U25994	8737	ENSG00000137275	NM_003804
HGNC:1002	BCL6B	B cell CLL/lymphoma 6B	ZBTB28, BAZF	AI672318	255877	ENSG00000161940	NM_181844
HGNC:10020	RIPK2	receptor interacting serine/threonine kinase 2	RICK, RIP2, CARDIAK, CARD3	AC004003	8767	ENSG00000104312	
HGNC:10021	RIPK3	receptor interacting serine/threonine kinase 3	RIP3	AF156884	11035	ENSG00000129465	NM_006871
HGNC:10022	RIR~withdrawn	symbol withdrawn, see APBB1					
HGNC:10023	RIT1	Ras like without CAAX 1	RIBB, ROC1, MGC125864, MGC125865	AF084462	6016	ENSG00000143622	NM_006912
HGNC:10024	RLBP1	retinaldehyde binding protein 1	CRALBP	BC004199	6017		NM_000326
HGNC:10025	RLF	rearranged L-myc fusion	ZNF292L, Zn-15L		6018	ENSG00000117000	NM_012421
HGNC:10026	RLN1	relaxin 1	H1		6013	ENSG00000107018	
HGNC:10027	RLN2	relaxin 2	H2, RLXH2, bA12D24.1.1, bA12D24.1.2		6019	ENSG00000107014	NM_134441
HGNC:10028	RLNL~withdrawn	symbol withdrawn, see INSL3					
HGNC:10029	RMCH~withdrawn	symbol withdrawn, see CNGB3					
HGNC:1003	BCL7~withdrawn	symbol withdrawn, see BCL7A					
HGNC:10030	RMD1	rippling muscle disease 1					
HGNC:10031	RMRP	RNA component of mitochondrial RNA processing endoribonuclease	RMRPR, RRP2, NME1	M29916	6023	ENSG00000277027	NR_003051
HGNC:10032	RMSA1~withdrawn	entry withdrawn					
HGNC:10033	RN5S~withdrawn	symbol withdrawn, see RN5S1@					
HGNC:10034	RN5S1@	RNA, 5S ribosomal 1q42 cluster					
HGNC:10035	RN5S2@~withdrawn	entry withdrawn					
HGNC:10036	RN5S3@~withdrawn	entry withdrawn					
HGNC:10037	RN7SK	RNA, 7SK small nuclear	7SK	X05490, X04236	125050	ENSG00000283293	NR_001445
HGNC:10038	RN7SL1	RNA, 7SL, cytoplasmic 1	7SL, 7L1a, RNSRP1	X04248	6029	ENSG00000276168	NR_002715
HGNC:10039	RN7SL4P	RNA, 7SL, cytoplasmic 4, pseudogene	7L28	X04250	6030	ENSG00000263740	NG_002425
HGNC:1004	BCL7A	BCL tumor suppressor 7A		X89984	605	ENSG00000110987	
HGNC:10040	RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene	7LEM1	X04252	6031	ENSG00000265735	NG_002426
HGNC:10041	RN7SL6P	RNA, 7SL, cytoplasmic 6, pseudogene	7L7	X04253	6032		NG_002427
HGNC:10042	RN7SL7P	RNA, 7SL, cytoplasmic 7, pseudogene	7L23	X04254	6033	ENSG00000266794	NG_002428
HGNC:10043	RN7SL8P	RNA, 7SL, cytoplasmic 8, pseudogene	7L63	X04255	6034	ENSG00000243352	NG_002429
HGNC:10044	RNASE1	ribonuclease A family member 1, pancreatic	RAC1	BC005324	6035	ENSG00000129538	
HGNC:10045	RNASE2	ribonuclease A family member 2	EDN, RAF3	X55988	6036	ENSG00000169385	
HGNC:10046	RNASE3	ribonuclease A family member 3	ECP, RAF1	X55990	6037	ENSG00000169397	NM_002935
HGNC:10047	RNASE4	ribonuclease A family member 4	RAB1	U36775	6038	ENSG00000258818	
HGNC:10048	RNASE6	ribonuclease A family member k6	RAD1, RNaseK6	U64998	6039	ENSG00000169413	
HGNC:10049	RNASEH1P1	ribonuclease H1 pseudogene 1	RNH1	AF048994	284203	ENSG00000265790	
HGNC:1005	BCL7B	BCL tumor suppressor 7B		X89985	9275	ENSG00000106635	NM_001707
HGNC:10050	RNASEL	ribonuclease L		L10381	6041	ENSG00000135828	NM_021133
HGNC:10051	RNASEL1~withdrawn	symbol withdrawn, see ABCE1					
HGNC:10052	RNE1~withdrawn	symbol withdrawn, see SNORA73A					
HGNC:10053	RNE2~withdrawn	symbol withdrawn, see SNORA62					
HGNC:10054	RNE3~withdrawn	symbol withdrawn, see SNORA63					
HGNC:10055	RNF10	ring finger protein 10	KIAA0262, RIE2	AB027196	9921	ENSG00000022840	
HGNC:10056	RNF11	ring finger protein 11	CGI-123, Sid1669p, MGC51169	AB024703	26994	ENSG00000123091	NM_014372
HGNC:10057	RNF13	ring finger protein 13	RZF	AF037204	11342	ENSG00000082996	NM_183384
HGNC:10058	RNF14	ring finger protein 14	ARA54, HFB30, TRIAD2	AF060544	9604	ENSG00000013561	NM_004290
HGNC:10059	TRIM38	tripartite motif containing 38	RORET	U90547	10475	ENSG00000112343	
HGNC:1006	BCL7C	BCL tumor suppressor 7C		AJ223980	9274	ENSG00000099385	NM_004765
HGNC:10060	RNF17	ring finger protein 17	Mmip-2, SPATA23, FLJ11045	AF285602, AK001907	56163	ENSG00000132972	NM_031994
HGNC:10061	RNF2	ring finger protein 2	BAP-1, BAP1, DING, HIPI3, RING1B, RING2	BC012583, Y10571	6045	ENSG00000121481	NM_007212
HGNC:10062	RNF20	ring finger protein 20	FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	AF265230	56254	ENSG00000155827	NM_019592
HGNC:10063	TRIM34	tripartite motif containing 34		AB039902	53840	ENSG00000258659	NM_001003827
