DrugID	Name	Action	TargetID	Symbol	HGNC
DB00001	Lepirudin	inhibitor	BE0000048	F2	HGNC:3535
DB00002	Cetuximab	antagonist	BE0000767	EGFR	HGNC:3236
DB00002	Cetuximab		BE0000901	FCGR3B	HGNC:3620
DB00002	Cetuximab		BE0002093	C1R	HGNC:1246
DB00002	Cetuximab		BE0002094	C1QA	HGNC:1241
DB00002	Cetuximab		BE0002095	C1QB	HGNC:1242
DB00002	Cetuximab		BE0002096	C1QC	HGNC:1245
DB00002	Cetuximab		BE0002097	FCGR3A	HGNC:3619
DB00002	Cetuximab		BE0001529	C1S	HGNC:1247
DB00002	Cetuximab		BE0000710	FCGR1A	HGNC:3613
DB00002	Cetuximab		BE0002098	FCGR2A	HGNC:3616
DB00002	Cetuximab		BE0002099	FCGR2B	HGNC:3618
DB00002	Cetuximab		BE0002100	FCGR2C	HGNC:15626
DB00004	Denileukin diftitox	binder	BE0000658	IL2RA	HGNC:6008
DB00004	Denileukin diftitox	agonist	BE0000651	IL2RB	HGNC:6009
DB00004	Denileukin diftitox		BE0002102	IL2RG	HGNC:6010
DB00005	Etanercept	antibody	BE0000704	TNF	HGNC:11892
DB00005	Etanercept		BE0000949	TNFRSF1B	HGNC:11917
DB00005	Etanercept		BE0000710	FCGR1A	HGNC:3613
DB00005	Etanercept		BE0002097	FCGR3A	HGNC:3619
DB00005	Etanercept		BE0002098	FCGR2A	HGNC:3616
DB00005	Etanercept		BE0002099	FCGR2B	HGNC:3618
DB00005	Etanercept		BE0002100	FCGR2C	HGNC:15626
DB00005	Etanercept		BE0001087	LTA	HGNC:6709
DB00005	Etanercept		BE0000901	FCGR3B	HGNC:3620
DB00005	Etanercept		BE0001529	C1S	HGNC:1247
DB00005	Etanercept		BE0002093	C1R	HGNC:1246
DB00005	Etanercept		BE0002094	C1QA	HGNC:1241
DB00005	Etanercept		BE0002095	C1QB	HGNC:1242
DB00005	Etanercept		BE0002096	C1QC	HGNC:1245
DB00006	Bivalirudin	inhibitor	BE0000048	F2	HGNC:3535
DB00007	Leuprolide	agonist	BE0000203	GNRHR	HGNC:4421
DB00008	Peginterferon alfa-2a	agonist	BE0000385	IFNAR2	HGNC:5433
DB00008	Peginterferon alfa-2a	agonist	BE0000661	IFNAR1	HGNC:5432
DB00009	Alteplase	activator	BE0000211	PLG	HGNC:9071
DB00009	Alteplase		BE0000538	FGA	HGNC:3661
DB00009	Alteplase		BE0000717	PLAUR	HGNC:9053
DB00009	Alteplase		BE0000240	SERPINE1	HGNC:8583
DB00010	Sermorelin	agonist	BE0000625	GHRHR	HGNC:4266
DB00011	Interferon alfa-n1	agonist	BE0000385	IFNAR2	HGNC:5433
DB00011	Interferon alfa-n1	agonist	BE0000661	IFNAR1	HGNC:5432
DB00012	Darbepoetin alfa	agonist	BE0000654	EPOR	HGNC:3416
DB00013	Urokinase	activator	BE0000211	PLG	HGNC:9071
DB00013	Urokinase		BE0000717	PLAUR	HGNC:9053
DB00013	Urokinase		BE0000895	PLAU	HGNC:9052
DB00013	Urokinase		BE0001088	PLAT	HGNC:9051
DB00013	Urokinase		BE0000240	SERPINE1	HGNC:8583
DB00013	Urokinase		BE0000969	SERPINB2	HGNC:8584
DB00013	Urokinase		BE0002112	SERPINA5	HGNC:8723
DB00013	Urokinase		BE0000942	LRP2	HGNC:6694
DB00013	Urokinase		BE0001656	ST14	HGNC:11344
DB00013	Urokinase		BE0002113	NID1	HGNC:7821
DB00014	Goserelin	agonist	BE0000134	LHCGR	HGNC:6585
DB00014	Goserelin	agonist	BE0000203	GNRHR	HGNC:4421
DB00015	Reteplase	activator	BE0000211	PLG	HGNC:9071
DB00015	Reteplase		BE0000538	FGA	HGNC:3661
DB00015	Reteplase		BE0000717	PLAUR	HGNC:9053
DB00015	Reteplase		BE0000240	SERPINE1	HGNC:8583
DB00016	Erythropoietin	agonist	BE0000654	EPOR	HGNC:3416
DB00017	Salmon Calcitonin	agonist	BE0000431	CALCR	HGNC:1440
DB00018	Interferon alfa-n3	agonist	BE0000661	IFNAR1	HGNC:5432
DB00018	Interferon alfa-n3	agonist	BE0000385	IFNAR2	HGNC:5433
DB00019	Pegfilgrastim	agonist	BE0000793	CSF3R	HGNC:2439
DB00019	Pegfilgrastim		BE0000394	ELANE	HGNC:3309
DB00020	Sargramostim	agonist	BE0000628	CSF2RA	HGNC:2435
DB00020	Sargramostim	agonist	BE0001036	IL3RA	HGNC:6012
DB00020	Sargramostim	agonist	BE0002115	CSF2RB	HGNC:2436
DB00020	Sargramostim	agonist	BE0002116	SDC2	HGNC:10659
DB00020	Sargramostim		BE0002114	PRG2	HGNC:9362
DB00021	Secretin	agonist	BE0000318	SCTR	HGNC:10608
DB00022	Peginterferon alfa-2b	agonist	BE0000661	IFNAR1	HGNC:5432
DB00022	Peginterferon alfa-2b	agonist	BE0000385	IFNAR2	HGNC:5433
DB00024	Thyrotropin Alfa	agonist	BE0000490	TSHR	HGNC:12373
DB00025	Antihemophilic factor, human recombinant	activator	BE0000216	F10	HGNC:3528
DB00025	Antihemophilic factor, human recombinant	cofactor	BE0000364	F9	HGNC:3551
DB00025	Antihemophilic factor, human recombinant	binder	BE0001043	VWF	HGNC:12726
DB00025	Antihemophilic factor, human recombinant	antagonist	BE0002117	PHYH	HGNC:8940
DB00025	Antihemophilic factor, human recombinant	binder	BE0002118	ASGR2	HGNC:743
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0001098	HSPA5	HGNC:5238
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0002109	CALR	HGNC:1455
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0001011	CANX	HGNC:1473
DB00025	Antihemophilic factor, human recombinant	chaperone	BE0002119	LMAN1	HGNC:6631
DB00025	Antihemophilic factor, human recombinant	modulator	BE0002110	LRP1	HGNC:6692
DB00025	Antihemophilic factor, human recombinant	modulator	BE0002120	MCFD2	HGNC:18451
DB00026	Anakinra	antagonist	BE0000565	IL1R1	HGNC:5993
DB00028	Immune Globulin Human	antagonist	BE0000710	FCGR1A	HGNC:3613
DB00028	Immune Globulin Human	antagonist	BE0004684	FCGR1B	HGNC:3614
DB00028	Immune Globulin Human	antagonist	BE0002098	FCGR2A	HGNC:3616
DB00028	Immune Globulin Human	antagonist	BE0002099	FCGR2B	HGNC:3618
DB00028	Immune Globulin Human	antagonist	BE0002100	FCGR2C	HGNC:15626
DB00028	Immune Globulin Human	antagonist	BE0002097	FCGR3A	HGNC:3619
DB00028	Immune Globulin Human	antagonist	BE0000901	FCGR3B	HGNC:3620
DB00028	Immune Globulin Human	binder	BE0003455	C3	HGNC:1318
DB00028	Immune Globulin Human	binder	BE0004685	C4A	HGNC:1323
DB00028	Immune Globulin Human	binder	BE0004686	C4B	HGNC:1324
DB00028	Immune Globulin Human	binder	BE0000855	C5	HGNC:1331
DB00029	Anistreplase	activator	BE0000211	PLG	HGNC:9071
DB00029	Anistreplase		BE0000538	FGA	HGNC:3661
DB00029	Anistreplase		BE0000717	PLAUR	HGNC:9053
DB00029	Anistreplase		BE0000240	SERPINE1	HGNC:8583
DB00030	Insulin Human	agonist	BE0000033	INSR	HGNC:6091
DB00030	Insulin Human		BE0000858	IGF1R	HGNC:5465
DB00030	Insulin Human		BE0002123	RB1	HGNC:9884
DB00030	Insulin Human		BE0000941	CTSD	HGNC:2529
DB00030	Insulin Human		BE0001183	IDE	HGNC:5381
DB00030	Insulin Human		BE0002124	PCSK2	HGNC:8744
DB00030	Insulin Human		BE0001123	CPE	HGNC:2303
DB00030	Insulin Human		BE0002125	PCSK1	HGNC:8743
DB00030	Insulin Human		BE0001147	NOV	HGNC:7885
DB00030	Insulin Human		BE0000942	LRP2	HGNC:6694
DB00030	Insulin Human		BE0002126	IGFBP7	HGNC:5476
DB00030	Insulin Human		BE0002127	SYTL4	HGNC:15588
DB00031	Tenecteplase	activator	BE0000211	PLG	HGNC:9071
DB00031	Tenecteplase		BE0000538	FGA	HGNC:3661
DB00031	Tenecteplase		BE0000717	PLAUR	HGNC:9053
DB00031	Tenecteplase		BE0000240	SERPINE1	HGNC:8583
DB00031	Tenecteplase		BE0000969	SERPINB2	HGNC:8584
DB00031	Tenecteplase		BE0002104	CLEC3B	HGNC:11891
DB00031	Tenecteplase		BE0002105	KRT8	HGNC:6446
DB00031	Tenecteplase		BE0001170	ANXA2	HGNC:537
DB00031	Tenecteplase		BE0002109	CALR	HGNC:1455
DB00031	Tenecteplase		BE0001011	CANX	HGNC:1473
DB00031	Tenecteplase		BE0002110	LRP1	HGNC:6692
DB00032	Menotropins	binder	BE0000387	FSHR	HGNC:3969
DB00032	Menotropins		BE0000134	LHCGR	HGNC:6585
DB00033	Interferon gamma-1b	binder	BE0000711	IFNGR1	HGNC:5439
DB00033	Interferon gamma-1b	binder	BE0000467	IFNGR2	HGNC:5440
DB00034	Interferon Alfa-2a, Recombinant		BE0000661	IFNAR1	HGNC:5432
DB00034	Interferon Alfa-2a, Recombinant		BE0000385	IFNAR2	HGNC:5433
DB00035	Desmopressin	agonist	BE0000293	AVPR2	HGNC:897
DB00035	Desmopressin		BE0000165	AVPR1A	HGNC:895
DB00035	Desmopressin		BE0000773	AVPR1B	HGNC:896
DB00036	Coagulation factor VIIa Recombinant Human		BE0000216	F10	HGNC:3528
DB00036	Coagulation factor VIIa Recombinant Human		BE0002128	HPN	HGNC:5155
DB00036	Coagulation factor VIIa Recombinant Human		BE0000967	TFPI	HGNC:11760
