disease_id	disease_name	symptom_id	symptom_name
UMLS:C0020538	hypertensive disease	UMLS:C0008031	pain chest
UMLS:C0020538	hypertensive disease	UMLS:C0392680	shortness of breath
UMLS:C0020538	hypertensive disease	UMLS:C0012833	dizziness
UMLS:C0020538	hypertensive disease	UMLS:C0004093	asthenia
UMLS:C0020538	hypertensive disease	UMLS:C0085639	fall
UMLS:C0020538	hypertensive disease	UMLS:C0039070	syncope
UMLS:C0020538	hypertensive disease	UMLS:C0042571	vertigo
UMLS:C0020538	hypertensive disease	UMLS:C0038990	sweat
UMLS:C0020538	hypertensive disease	UMLS:C0700590	sweating increased
UMLS:C0020538	hypertensive disease	UMLS:C0030252	palpitation
UMLS:C0020538	hypertensive disease	UMLS:C0027497	nausea
UMLS:C0020538	hypertensive disease	UMLS:C0002962	angina pectoris
UMLS:C0020538	hypertensive disease	UMLS:C0438716	pressure chest
UMLS:C0011847	diabetes	UMLS:C0032617	polyuria
UMLS:C0011847	diabetes	UMLS:C0085602	polydypsia
UMLS:C0011847	diabetes	UMLS:C0392680	shortness of breath
UMLS:C0011847	diabetes	UMLS:C0008031	pain chest
UMLS:C0011847	diabetes	UMLS:C0004093	asthenia
UMLS:C0011847	diabetes	UMLS:C0027497	nausea
UMLS:C0011847	diabetes	UMLS:C0085619	orthopnea
UMLS:C0011847	diabetes	UMLS:C0034642	rale
UMLS:C0011847	diabetes	UMLS:C0038990	sweat
UMLS:C0011847	diabetes	UMLS:C0700590	sweating increased
UMLS:C0011847	diabetes	UMLS:C0241526	unresponsiveness
UMLS:C0011847	diabetes	UMLS:C0856054	mental status changes
UMLS:C0011847	diabetes	UMLS:C0042571	vertigo
UMLS:C0011847	diabetes	UMLS:C0042963	vomiting
UMLS:C0011847	diabetes	UMLS:C0553668	labored breathing
UMLS:C0011570	depression mental	UMLS:C0424000	feeling suicidal
UMLS:C0011581	depressive disorder	UMLS:C0424000	feeling suicidal
UMLS:C0011570	depression mental	UMLS:C0438696	suicidal
UMLS:C0011581	depressive disorder	UMLS:C0438696	suicidal
UMLS:C0011570	depression mental	UMLS:C0233762	hallucinations auditory
UMLS:C0011581	depressive disorder	UMLS:C0233762	hallucinations auditory
UMLS:C0011570	depression mental	UMLS:C0150041	feeling hopeless
UMLS:C0011581	depressive disorder	UMLS:C0150041	feeling hopeless
UMLS:C0011570	depression mental	UMLS:C0424109	weepiness
UMLS:C0011581	depressive disorder	UMLS:C0424109	weepiness
UMLS:C0011570	depression mental	UMLS:C0917801	sleeplessness
UMLS:C0011581	depressive disorder	UMLS:C0917801	sleeplessness
UMLS:C0011570	depression mental	UMLS:C0424230	motor retardation
UMLS:C0011581	depressive disorder	UMLS:C0424230	motor retardation
UMLS:C0011570	depression mental	UMLS:C0022107	irritable mood
UMLS:C0011581	depressive disorder	UMLS:C0022107	irritable mood
UMLS:C0011570	depression mental	UMLS:C0312422	blackout
UMLS:C0011581	depressive disorder	UMLS:C0312422	blackout
UMLS:C0011570	depression mental	UMLS:C0344315	mood depressed
UMLS:C0011581	depressive disorder	UMLS:C0344315	mood depressed
UMLS:C0011570	depression mental	UMLS:C0233763	hallucinations visual
UMLS:C0011581	depressive disorder	UMLS:C0233763	hallucinations visual
UMLS:C0011570	depression mental	UMLS:C0233481	worry
UMLS:C0011581	depressive disorder	UMLS:C0233481	worry
UMLS:C0011570	depression mental	UMLS:C0085631	agitation
UMLS:C0011581	depressive disorder	UMLS:C0085631	agitation
UMLS:C0011570	depression mental	UMLS:C0040822	tremor
UMLS:C0011581	depressive disorder	UMLS:C0040822	tremor
UMLS:C0011570	depression mental	UMLS:C0728899	intoxication
UMLS:C0011581	depressive disorder	UMLS:C0728899	intoxication
UMLS:C0011570	depression mental	UMLS:C0424068	verbal auditory hallucinations
UMLS:C0011581	depressive disorder	UMLS:C0424068	verbal auditory hallucinations
UMLS:C0011570	depression mental	UMLS:C0455769	energy increased
UMLS:C0011581	depressive disorder	UMLS:C0455769	energy increased
UMLS:C0011570	depression mental	UMLS:C1299586	difficulty
UMLS:C0011581	depressive disorder	UMLS:C1299586	difficulty
UMLS:C0011570	depression mental	UMLS:C0028084	nightmare
UMLS:C0011581	depressive disorder	UMLS:C0028084	nightmare
UMLS:C0011570	depression mental	UMLS:C0235198	unable to concentrate
UMLS:C0011581	depressive disorder	UMLS:C0235198	unable to concentrate
UMLS:C0011570	depression mental	UMLS:C0237154	homelessness
UMLS:C0011581	depressive disorder	UMLS:C0237154	homelessness
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0008031	pain chest
UMLS:C0010068	coronary heart disease	UMLS:C0008031	pain chest
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0002962	angina pectoris
UMLS:C0010068	coronary heart disease	UMLS:C0002962	angina pectoris
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0392680	shortness of breath
UMLS:C0010068	coronary heart disease	UMLS:C0392680	shortness of breath
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0086439	hypokinesia
UMLS:C0010068	coronary heart disease	UMLS:C0086439	hypokinesia
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0038990	sweat
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0700590	sweating increased
UMLS:C0010068	coronary heart disease	UMLS:C0038990	sweat
UMLS:C0010068	coronary heart disease	UMLS:C0700590	sweating increased
UMLS:C0010054	coronary arteriosclerosis	UMLS:C0438716	pressure chest
UMLS:C0010068	coronary heart disease	UMLS:C0438716	pressure chest
