DrugID	Name	Action	TargetID	UniProt	Target
DB00001	Lepirudin	inhibitor	BE0000048	P00734	Prothrombin
DB00002	Cetuximab	antagonist	BE0000767	P00533	Epidermal growth factor receptor
DB00002	Cetuximab		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00002	Cetuximab		BE0002093	P00736	Complement C1r subcomponent
DB00002	Cetuximab		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00002	Cetuximab		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00002	Cetuximab		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00002	Cetuximab		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00002	Cetuximab		BE0001529	P09871	Complement C1s subcomponent
DB00002	Cetuximab		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00002	Cetuximab		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00002	Cetuximab		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00002	Cetuximab		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00003	Dornase alfa		BE0004796		DNA
DB00004	Denileukin diftitox	binder	BE0000658	P01589	Interleukin-2 receptor subunit alpha
DB00004	Denileukin diftitox	agonist	BE0000651	P14784	Interleukin-2 receptor subunit beta
DB00004	Denileukin diftitox		BE0002102	P31785	Cytokine receptor common subunit gamma
DB00005	Etanercept	antibody	BE0000704	P01375	Tumor necrosis factor
DB00005	Etanercept		BE0000949	P20333	Tumor necrosis factor receptor superfamily member 1B
DB00005	Etanercept		BE0000710	P12314	High affinity immunoglobulin gamma Fc receptor I
DB00005	Etanercept		BE0002097	P08637	Low affinity immunoglobulin gamma Fc region receptor III-A
DB00005	Etanercept		BE0002098	P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
DB00005	Etanercept		BE0002099	P31994	Low affinity immunoglobulin gamma Fc region receptor II-b
DB00005	Etanercept		BE0002100	P31995	Low affinity immunoglobulin gamma Fc region receptor II-c
DB00005	Etanercept		BE0001087	P01374	Lymphotoxin-alpha
DB00005	Etanercept		BE0000901	O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
DB00005	Etanercept		BE0001529	P09871	Complement C1s subcomponent
DB00005	Etanercept		BE0002093	P00736	Complement C1r subcomponent
DB00005	Etanercept		BE0002094	P02745	Complement C1q subcomponent subunit A
DB00005	Etanercept		BE0002095	P02746	Complement C1q subcomponent subunit B
DB00005	Etanercept		BE0002096	P02747	Complement C1q subcomponent subunit C
DB00006	Bivalirudin	inhibitor	BE0000048	P00734	Prothrombin
DB00007	Leuprolide	agonist	BE0000203	P30968	Gonadotropin-releasing hormone receptor
DB00008	Peginterferon alfa-2a	agonist	BE0000385	P48551	Interferon alpha/beta receptor 2
DB00008	Peginterferon alfa-2a	agonist	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00009	Alteplase	activator	BE0000211	P00747	Plasminogen
DB00009	Alteplase		BE0000538	P02671	Fibrinogen alpha chain
DB00009	Alteplase		BE0000717	Q03405	Urokinase plasminogen activator surface receptor
DB00009	Alteplase		BE0000240	P05121	Plasminogen activator inhibitor 1
DB00010	Sermorelin	agonist	BE0000625	Q02643	Growth hormone-releasing hormone receptor
DB00011	Interferon alfa-n1	agonist	BE0000385	P48551	Interferon alpha/beta receptor 2
DB00011	Interferon alfa-n1	agonist	BE0000661	P17181	Interferon alpha/beta receptor 1
DB00012	Darbepoetin alfa	agonist	BE0000654	P19235	Erythropoietin receptor
DB00013	Urokinase	activator	BE0000211	P00747	Plasminogen
DB00013	Urokinase		BE0000717	Q03405	Urokinase plasminogen activator surface receptor
DB00013	Urokinase		BE0000895	P00749	Urokinase-type plasminogen activator
DB00013	Urokinase		BE0001088	P00750	Tissue-type plasminogen activator
DB00013	Urokinase		BE0000240	P05121	Plasminogen activator inhibitor 1
DB00013	Urokinase		BE0000969	P05120	Plasminogen activator inhibitor 2
DB00013	Urokinase		BE0002112	P05154	Plasma serine protease inhibitor
DB00013	Urokinase		BE0000942	P98164	Low-density lipoprotein receptor-related protein 2
DB00013	Urokinase		BE0001656	Q9Y5Y6	Suppressor of tumorigenicity 14 protein
DB00013	Urokinase		BE0002113	P14543	Nidogen-1
DB00014	Goserelin	agonist	BE0000134	P22888	Lutropin-choriogonadotropic hormone receptor
DB00014	Goserelin	agonist	BE0000203	P30968	Gonadotropin-releasing hormone receptor
DB00015	Reteplase	activator	BE0000211	P00747	Plasminogen
DB00015	Reteplase		BE0000538	P02671	Fibrinogen alpha chain
DB00015	Reteplase		BE0000717	Q03405	Urokinase plasminogen activator surface receptor
DB00015	Reteplase		BE0000240	P05121	Plasminogen activator inhibitor 1
DB00016	Erythropoietin	agonist	BE0000654	P19235	Erythropoietin receptor
DB00017	Salmon Calcitonin	agonist	BE0000431	P30988	Calcitonin receptor
