Symbol	GOID	GOTerm	qualifier	CLID	name
IRGM	GO:0000045	autophagosome assembly	occurs_in	CL:0000235	macrophage
IRGM	GO:0042742	defense response to bacterium	occurs_in	CL:0000235	macrophage
IRGM	GO:0045087	innate immune response	occurs_in	CL:0000235	macrophage
IRGM	GO:0060335	positive regulation of interferon-gamma-mediated signaling pathway	occurs_in	CL:0000235	macrophage
IRGM	GO:0075044	autophagy of host cells involved in interaction with symbiont	occurs_in	CL:0000235	macrophage
IRGM	GO:1901098	positive regulation of autophagosome maturation	occurs_in	CL:0000235	macrophage
ODAM	GO:0001934	positive regulation of protein phosphorylation	occurs_in	CL:0000059	ameloblast
ODAM	GO:0005515	protein binding	occurs_in	CL:0000059	ameloblast
ODAM	GO:0010628	positive regulation of gene expression	occurs_in	CL:0000059	ameloblast
ODAM	GO:0032956	regulation of actin cytoskeleton organization	occurs_in	CL:0000059	ameloblast
ODAM	GO:0043547	positive regulation of GTPase activity	occurs_in	CL:0000059	ameloblast
FOXO6	GO:0060999	positive regulation of dendritic spine development	occurs_in	CL:0002608	hippocampal neuron
COL6A5	GO:0005515	protein binding	occurs_in	CL:0002363	keratocyte
MYO1C	GO:0006612	protein targeting to membrane	occurs_in	CL:0000653	glomerular visceral epithelial cell
MYO1C	GO:0030335	positive regulation of cell migration	results_in_movement_of	CL:0000653	glomerular visceral epithelial cell
FXYD1	GO:1903278	positive regulation of sodium ion export across plasma membrane	occurs_in	CL:0002131	regular ventricular cardiac myocyte
FXYD1	GO:2000649	regulation of sodium ion transmembrane transporter activity	occurs_in	CL:0002131	regular ventricular cardiac myocyte
LGALS9	GO:0002519	natural killer cell tolerance induction	occurs_in	CL:0002343	decidual natural killer cell
LGALS9	GO:0002519	natural killer cell tolerance induction	acts_on_population_of	CL:0000351	trophoblast cell
LGALS9	GO:0002519	natural killer cell tolerance induction	occurs_in	CL:0000623	natural killer cell
LGALS9	GO:0006954	inflammatory response	occurs_in	CL:0000134	mesenchymal stem cell
LGALS9	GO:0010628	positive regulation of gene expression	acts_on_population_of	CL:0000782	myeloid dendritic cell
LGALS9	GO:0010628	positive regulation of gene expression	acts_on_population_of	CL:0000840	immature conventional dendritic cell
LGALS9	GO:0010629	negative regulation of gene expression	acts_on_population_of	CL:0000623	natural killer cell
LGALS9	GO:0010629	negative regulation of gene expression	occurs_in	CL:0002343	decidual natural killer cell
LGALS9	GO:0010629	negative regulation of gene expression	acts_on_population_of	CL:0000351	trophoblast cell
LGALS9	GO:0010629	negative regulation of gene expression	occurs_in	CL:0000623	natural killer cell
LGALS9	GO:0019899	enzyme binding	occurs_in	CL:0000084	T cell
LGALS9	GO:0019899	enzyme binding	occurs_in	CL:0000546	T-helper 2 cell
LGALS9	GO:0032496	response to lipopolysaccharide	occurs_in	CL:0002343	decidual natural killer cell
LGALS9	GO:0032682	negative regulation of chemokine production	occurs_in	CL:0001056	dendritic cell, human
LGALS9	GO:0032689	negative regulation of interferon-gamma production	acts_on_population_of	CL:0000623	natural killer cell
LGALS9	GO:0032720	negative regulation of tumor necrosis factor production	occurs_in	CL:0002343	decidual natural killer cell
LGALS9	GO:0032720	negative regulation of tumor necrosis factor production	acts_on_population_of	CL:0000351	trophoblast cell
LGALS9	GO:0032720	negative regulation of tumor necrosis factor production	occurs_in	CL:0000623	natural killer cell
LGALS9	GO:0032753	positive regulation of interleukin-4 production	occurs_in	CL:2000001	peripheral blood mononuclear cell
LGALS9	GO:0032753	positive regulation of interleukin-4 production	occurs_in	CL:0002343	decidual natural killer cell
LGALS9	GO:0032753	positive regulation of interleukin-4 production	acts_on_population_of	CL:0000351	trophoblast cell
LGALS9	GO:0032753	positive regulation of interleukin-4 production	occurs_in	CL:0000623	natural killer cell
LGALS9	GO:0038066	p38MAPK cascade	acts_on_population_of	CL:0000840	immature conventional dendritic cell
