id,name,hgnc_id,drug_id
BE0000048,Prothrombin,HGNC:3535,DB00001
BE0000767,Epidermal growth factor receptor,HGNC:3236,DB00002
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00002
BE0002093,Complement C1r subcomponent,HGNC:1246,DB00002
BE0002094,Complement C1q subcomponent subunit A,HGNC:1241,DB00002
BE0002095,Complement C1q subcomponent subunit B,HGNC:1242,DB00002
BE0002096,Complement C1q subcomponent subunit C,HGNC:1245,DB00002
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00002
BE0001529,Complement C1s subcomponent,HGNC:1247,DB00002
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00002
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00002
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00002
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00002
BE0004796,DNA,,DB00003
BE0000658,Interleukin-2 receptor subunit alpha,HGNC:6008,DB00004
BE0000651,Interleukin-2 receptor subunit beta,HGNC:6009,DB00004
BE0002102,Cytokine receptor common subunit gamma,HGNC:6010,DB00004
BE0000704,Tumor necrosis factor,HGNC:11892,DB00005
BE0000949,Tumor necrosis factor receptor superfamily member 1B,HGNC:11917,DB00005
BE0000710,High affinity immunoglobulin gamma Fc receptor I,HGNC:3613,DB00005
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,HGNC:3619,DB00005
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,HGNC:3616,DB00005
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,HGNC:3618,DB00005
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,HGNC:15626,DB00005
BE0001087,Lymphotoxin-alpha,HGNC:6709,DB00005
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,HGNC:3620,DB00005
